T29,Internet Usage,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
30,Eastern Asia,2018,Percentage of individuals using the internet,59.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
30,Eastern Asia,2019,Percentage of individuals using the internet,59.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
62,South-central Asia,2000,Percentage of individuals using the internet,0.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
62,South-central Asia,2005,Percentage of individuals using the internet,2.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
62,South-central Asia,2010,Percentage of individuals using the internet,8.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
62,South-central Asia,2015,Percentage of individuals using the internet,18.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
62,South-central Asia,2017,Percentage of individuals using the internet,30.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
62,South-central Asia,2018,Percentage of individuals using the internet,22.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
62,South-central Asia,2019,Percentage of individuals using the internet,22.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
35,South-eastern Asia,2000,Percentage of individuals using the internet,2.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
35,South-eastern Asia,2005,Percentage of individuals using the internet,8.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
35,South-eastern Asia,2010,Percentage of individuals using the internet,18.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
35,South-eastern Asia,2015,Percentage of individuals using the internet,31.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
35,South-eastern Asia,2017,Percentage of individuals using the internet,44.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
35,South-eastern Asia,2018,Percentage of individuals using the internet,50.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
35,South-eastern Asia,2019,Percentage of individuals using the internet,51.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
34,Southern Asia,2000,Percentage of individuals using the internet,0.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
34,Southern Asia,2005,Percentage of individuals using the internet,2.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
34,Southern Asia,2010,Percentage of individuals using the internet,7.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
34,Southern Asia,2015,Percentage of individuals using the internet,17.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
34,Southern Asia,2017,Percentage of individuals using the internet,30.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
34,Southern Asia,2018,Percentage of individuals using the internet,21.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
34,Southern Asia,2019,Percentage of individuals using the internet,21.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
145,Western Asia,2000,Percentage of individuals using the internet,3.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
145,Western Asia,2005,Percentage of individuals using the internet,11.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
145,Western Asia,2010,Percentage of individuals using the internet,32.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
145,Western Asia,2015,Percentage of individuals using the internet,56.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
145,Western Asia,2017,Percentage of individuals using the internet,64.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
145,Western Asia,2018,Percentage of individuals using the internet,70.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
145,Western Asia,2019,Percentage of individuals using the internet,71.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
150,Europe,2000,Percentage of individuals using the internet,15.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
150,Europe,2005,Percentage of individuals using the internet,39.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
150,Europe,2010,Percentage of individuals using the internet,61.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
150,Europe,2015,Percentage of individuals using the internet,74.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
150,Europe,2017,Percentage of individuals using the internet,78.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
150,Europe,2018,Percentage of individuals using the internet,81.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
150,Europe,2019,Percentage of individuals using the internet,83.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
9,Oceania,2000,Percentage of individuals using the internet,34.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
9,Oceania,2005,Percentage of individuals using the internet,46.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
9,Oceania,2010,Percentage of individuals using the internet,57.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
9,Oceania,2015,Percentage of individuals using the internet,65.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
9,Oceania,2017,Percentage of individuals using the internet,68.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
