departamento;MUNICIPIO;Npuesto;gps;votos;direccion;;
CESAR;VALLEDUPAR;COL. PRUDENCIA DAZA;10.468735694661138, -73.24732336309124;16;CALLE 19 B # 12 - 80;;
CESAR;VALLEDUPAR;COL. PRUDENCIA DAZA;10.468735694661138, -73.24732336309124;8;CALLE 19 B # 12 - 80;;
CESAR;VALLEDUPAR;COL. PRUDENCIA DAZA;10.468735694661138, -73.24732336309124;12;CALLE 19 B # 12 - 80;;
CESAR;VALLEDUPAR;COL. PRUDENCIA DAZA;10.468735694661138, -73.24732336309124;8;CALLE 19 B # 12 - 80;;
CESAR;VALLEDUPAR;COL. PRUDENCIA DAZA;10.468735694661138, -73.24732336309124;4;CALLE 19 B # 12 - 80;;
CESAR;VALLEDUPAR;COL. PRUDENCIA DAZA;10.468735694661138, -73.24732336309124;8;CALLE 19 B # 12 - 80;;
CESAR;VALLEDUPAR;COL. SANTO DOMINGO;10.46988929430323, -73.23814660727123;6;CALLE 19 C # 4H - 15;;
CESAR;VALLEDUPAR;COL. SANTO DOMINGO;10.46988929430323, -73.23814660727123;11;CALLE 19 C # 4H - 15;;
CESAR;VALLEDUPAR;COL. SANTO DOMINGO;10.46988929430323, -73.23814660727123;11;CALLE 19 C # 4H - 15;;
CESAR;VALLEDUPAR;COL. SANTO DOMINGO;10.46988929430323, -73.23814660727123;19;CALLE 19 C # 4H - 15;;
CESAR;VALLEDUPAR;COL. SANTO DOMINGO;10.46988929430323, -73.23814660727123;12;CALLE 19 C # 4H - 15;;
CESAR;VALLEDUPAR;COL. SANTO DOMINGO;10.46988929430323, -73.23814660727123;10;CALLE 19 C # 4H - 15;;
CESAR;VALLEDUPAR;COL. SANTO DOMINGO;10.46988929430323, -73.23814660727123;17;CALLE 19 C # 4H - 15;;
CESAR;VALLEDUPAR;COL. SANTO DOMINGO;10.46988929430323, -73.23814660727123;15;CALLE 19 C # 4H - 15;;
CESAR;VALLEDUPAR;COL. SANTO DOMINGO;10.46988929430323, -73.23814660727123;17;CALLE 19 C # 4H - 15;;
CESAR;VALLEDUPAR;COL. SANTO DOMINGO;10.46988929430323, -73.23814660727123;23;CALLE 19 C # 4H - 15;;
CESAR;VALLEDUPAR;COL. SANTO DOMINGO;10.46988929430323, -73.23814660727123;23;CALLE 19 C # 4H - 15;;
CESAR;VALLEDUPAR;COL. SANTO DOMINGO;10.46988929430323, -73.23814660727123;15;CALLE 19 C # 4H - 15;;
CESAR;VALLEDUPAR;COL. SANTO DOMINGO;10.46988929430323, -73.23814660727123;9;CALLE 19 C # 4H - 15;;
CESAR;VALLEDUPAR;COL. SANTO DOMINGO;10.46988929430323, -73.23814660727123;14;CALLE 19 C # 4H - 15;;
CESAR;VALLEDUPAR;COL. SANTO DOMINGO;10.46988929430323, -73.23814660727123;20;CALLE 19 C # 4H - 15;;
CESAR;VALLEDUPAR;COL. SANTO DOMINGO;10.46988929430323, -73.23814660727123;22;CALLE 19 C # 4H - 15;;
CESAR;VALLEDUPAR;COL. SANTO DOMINGO;10.46988929430323, -73.23814660727123;18;CALLE 19 C # 4H - 15;;
CESAR;VALLEDUPAR;COL. SANTO DOMINGO;10.46988929430323, -73.23814660727123;16;CALLE 19 C # 4H - 15;;
CESAR;VALLEDUPAR;COL. SANTO DOMINGO;10.46988929430323, -73.23814660727123;17;CALLE 19 C # 4H - 15;;
CESAR;VALLEDUPAR;COL. SANTO DOMINGO;10.46988929430323, -73.23814660727123;14;CALLE 19 C # 4H - 15;;
CESAR;VALLEDUPAR;COL. SANTO DOMINGO;10.46988929430323, -73.23814660727123;16;CALLE 19 C # 4H - 15;;
CESAR;VALLEDUPAR;COL. SANTO DOMINGO;10.46988929430323, -73.23814660727123;9;CALLE 19 C # 4H - 15;;
CESAR;VALLEDUPAR;COL. SANTO DOMINGO;10.46988929430323, -73.23814660727123;8;CALLE 19 C # 4H - 15;;
CESAR;VALLEDUPAR;COL. SANTO DOMINGO;10.46988929430323, -73.23814660727123;15;CALLE 19 C # 4H - 15;;
CESAR;VALLEDUPAR;COL. SANTO DOMINGO;10.46988929430323, -73.23814660727123;13;CALLE 19 C # 4H - 15;;
CESAR;VALLEDUPAR;COL. SANTO DOMINGO;10.46988929430323, -73.23814660727123;11;CALLE 19 C # 4H - 15;;
CESAR;VALLEDUPAR;COL. SANTO DOMINGO;10.46988929430323, -73.23814660727123;6;CALLE 19 C # 4H - 15;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;7;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;5;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;9;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;17;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;13;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;10;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;5;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;14;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;19;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;15;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;23;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;18;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;7;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;10;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;16;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;15;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;7;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;6;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;7;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;8;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;10;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;9;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;4;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;8;CARRERA 4 # 33A - 01;;
CESAR;VALLEDUPAR;COL. FRANCISCO MOLINA SANCHEZ;10.460264250972644, -73.22888844774737;2;CARRERA 4 # 33A - 01;;
