T30,Tourist/visitor arrivals and tourism expenditure,,,,,,,
Region/Country/Area,,Year,Series,Tourism arrivals series type,Tourism arrivals series type footnote,Value,Footnotes,Source
446,"China, Macao SAR",1995,Tourism expenditure (millions of US dollars),,,"3,233",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
446,"China, Macao SAR",2005,Tourism expenditure (millions of US dollars),,,"7,181",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
446,"China, Macao SAR",2010,Tourism expenditure (millions of US dollars),,,"22,688",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
446,"China, Macao SAR",2017,Tourism expenditure (millions of US dollars),,,"36,436",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
446,"China, Macao SAR",2018,Tourism expenditure (millions of US dollars),,,"41,309",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
170,Colombia,1995,Tourist/visitor arrivals (thousands),TF,,"1,399",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
170,Colombia,2005,Tourist/visitor arrivals (thousands),TF,,933,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
170,Colombia,2010,Tourist/visitor arrivals (thousands),TF,,"1,405",Arrivals of non-resident travellers by immigration checkpoints.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
170,Colombia,2017,Tourist/visitor arrivals (thousands),TF,,"3,631",Including nationals residing abroad.;Arrivals of non-resident travellers by immigration checkpoints.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
170,Colombia,2018,Tourist/visitor arrivals (thousands),TF,,"3,904",Including nationals residing abroad.;Arrivals of non-resident travellers by immigration checkpoints.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
170,Colombia,1995,Tourism expenditure (millions of US dollars),,,887,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
170,Colombia,2005,Tourism expenditure (millions of US dollars),,,"1,891",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
170,Colombia,2010,Tourism expenditure (millions of US dollars),,,"3,441",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
170,Colombia,2017,Tourism expenditure (millions of US dollars),,,"5,882",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
170,Colombia,2018,Tourism expenditure (millions of US dollars),,,"6,624",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
170,Colombia,2019,Tourism expenditure (millions of US dollars),,,"6,786",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
174,Comoros,1995,Tourist/visitor arrivals (thousands),TF,,23,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
174,Comoros,2005,Tourist/visitor arrivals (thousands),TF,,26,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
174,Comoros,2010,Tourist/visitor arrivals (thousands),TF,,15,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
174,Comoros,2017,Tourist/visitor arrivals (thousands),TF,,28,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
174,Comoros,2018,Tourist/visitor arrivals (thousands),TF,,36,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
174,Comoros,2019,Tourist/visitor arrivals (thousands),TF,,45,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
174,Comoros,1995,Tourism expenditure (millions of US dollars),,,22,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
174,Comoros,2005,Tourism expenditure (millions of US dollars),,,24,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
174,Comoros,2010,Tourism expenditure (millions of US dollars),,,35,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
174,Comoros,2017,Tourism expenditure (millions of US dollars),,,61,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
174,Comoros,2018,Tourism expenditure (millions of US dollars),,,77,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
178,Congo,1995,Tourist/visitor arrivals (thousands),TF,,37,Non-resident tourists staying in hotels and similar establishments.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
178,Congo,2005,Tourist/visitor arrivals (thousands),TF,,35,Non-resident tourists staying in hotels and similar establishments.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
178,Congo,2010,Tourist/visitor arrivals (thousands),TF,,194,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
178,Congo,2017,Tourist/visitor arrivals (thousands),TF,,149,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
178,Congo,2018,Tourist/visitor arrivals (thousands),TF,,156,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
178,Congo,1995,Tourism expenditure (millions of US dollars),,,15,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
178,Congo,2010,Tourism expenditure (millions of US dollars),,,39,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
184,Cook Islands,1995,Tourist/visitor arrivals (thousands),TF,,48,Air and sea arrivals.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
184,Cook Islands,2005,Tourist/visitor arrivals (thousands),TF,,88,Air and sea arrivals.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
184,Cook Islands,2010,Tourist/visitor arrivals (thousands),TF,,104,Air and sea arrivals.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
184,Cook Islands,2017,Tourist/visitor arrivals (thousands),TF,,161,Air and sea arrivals.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
184,Cook Islands,2018,Tourist/visitor arrivals (thousands),TF,,169,Air and sea arrivals.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
184,Cook Islands,2019,Tourist/visitor arrivals (thousands),TF,,172,Air and sea arrivals.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
184,Cook Islands,1995,Tourism expenditure (millions of US dollars),,,28,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
184,Cook Islands,2005,Tourism expenditure (millions of US dollars),,,91,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
184,Cook Islands,2010,Tourism expenditure (millions of US dollars),,,111,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
184,Cook Islands,2017,Tourism expenditure (millions of US dollars),,,229,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
184,Cook Islands,2018,Tourism expenditure (millions of US dollars),,,233,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
188,Costa Rica,1995,Tourist/visitor arrivals (thousands),TF,,785,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
188,Costa Rica,2005,Tourist/visitor arrivals (thousands),TF,,"1,679",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
188,Costa Rica,2010,Tourist/visitor arrivals (thousands),TF,,"2,100",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
188,Costa Rica,2017,Tourist/visitor arrivals (thousands),TF,,"2,960",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
188,Costa Rica,2018,Tourist/visitor arrivals (thousands),TF,,"3,017",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
188,Costa Rica,2019,Tourist/visitor arrivals (thousands),TF,,"3,139",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
188,Costa Rica,1995,Tourism expenditure (millions of US dollars),,,763,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
188,Costa Rica,2005,Tourism expenditure (millions of US dollars),,,"2,008",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
188,Costa Rica,2010,Tourism expenditure (millions of US dollars),,,"2,426",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
188,Costa Rica,2017,Tourism expenditure (millions of US dollars),,,"3,758",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
188,Costa Rica,2018,Tourism expenditure (millions of US dollars),,,"3,865",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
188,Costa Rica,2019,Tourism expenditure (millions of US dollars),,,"4,102",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
384,Côte d’Ivoire,1995,Tourist/visitor arrivals (thousands),VF,,188,Arrivals to Félix Houphouët Boigny Airport only.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
384,Côte d’Ivoire,2010,Tourist/visitor arrivals (thousands),VF,,252,Arrivals to Félix Houphouët Boigny Airport only.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
384,Côte d’Ivoire,2017,Tourist/visitor arrivals (thousands),VF,,"1,800",Break in the time series.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
384,Côte d’Ivoire,2018,Tourist/visitor arrivals (thousands),VF,,"1,965",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
384,Côte d’Ivoire,1995,Tourism expenditure (millions of US dollars),,,103,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
384,Côte d’Ivoire,2005,Tourism expenditure (millions of US dollars),,,93,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
384,Côte d’Ivoire,2010,Tourism expenditure (millions of US dollars),,,213,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
384,Côte d’Ivoire,2017,Tourism expenditure (millions of US dollars),,,509,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
384,Côte d’Ivoire,2018,Tourism expenditure (millions of US dollars),,,566,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
191,Croatia,1995,Tourist/visitor arrivals (thousands),TCE,,"1,485",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
191,Croatia,2005,Tourist/visitor arrivals (thousands),TCE,,"7,743",Estimate.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
191,Croatia,2010,Tourist/visitor arrivals (thousands),TCE,,"9,111",Excluding arrivals in ports of nautical tourism.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
191,Croatia,2017,Tourist/visitor arrivals (thousands),TCE,,"15,593",Excluding arrivals in ports of nautical tourism.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
191,Croatia,2018,Tourist/visitor arrivals (thousands),TCE,,"16,645",Excluding arrivals in ports of nautical tourism.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
191,Croatia,2019,Tourist/visitor arrivals (thousands),TCE,,"17,353",Excluding arrivals in ports of nautical tourism.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
191,Croatia,2005,Tourism expenditure (millions of US dollars),,,"7,625",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
191,Croatia,2010,Tourism expenditure (millions of US dollars),,,"8,299",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
191,Croatia,2017,Tourism expenditure (millions of US dollars),,,"10,528",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
191,Croatia,2018,Tourism expenditure (millions of US dollars),,,"11,317",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
191,Croatia,2019,Tourism expenditure (millions of US dollars),,,"11,987",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
192,Cuba,1995,Tourist/visitor arrivals (thousands),TF,,742,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
192,Cuba,2005,Tourist/visitor arrivals (thousands),TF,,"2,261",Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
192,Cuba,2010,Tourist/visitor arrivals (thousands),TF,,"2,507",Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
192,Cuba,2017,Tourist/visitor arrivals (thousands),TF,,"4,594",Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
192,Cuba,2018,Tourist/visitor arrivals (thousands),TF,,"4,684",Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
192,Cuba,1995,Tourism expenditure (millions of US dollars),,,"1,100",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
192,Cuba,2005,Tourism expenditure (millions of US dollars),,,"2,591",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
192,Cuba,2010,Tourism expenditure (millions of US dollars),,,"2,396",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
192,Cuba,2017,Tourism expenditure (millions of US dollars),,,"3,302",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
192,Cuba,2018,Tourism expenditure (millions of US dollars),,,"2,969",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
531,Curaçao,1995,Tourist/visitor arrivals (thousands),TF,,224,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
531,Curaçao,2005,Tourist/visitor arrivals (thousands),TF,,222,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
531,Curaçao,2010,Tourist/visitor arrivals (thousands),TF,,342,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
531,Curaçao,2017,Tourist/visitor arrivals (thousands),TF,,399,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
531,Curaçao,2018,Tourist/visitor arrivals (thousands),TF,,432,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
531,Curaçao,2019,Tourist/visitor arrivals (thousands),TF,,464,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
531,Curaçao,1995,Tourism expenditure (millions of US dollars),,,175,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
531,Curaçao,2005,Tourism expenditure (millions of US dollars),,,244,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
531,Curaçao,2010,Tourism expenditure (millions of US dollars),,,438,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
531,Curaçao,2017,Tourism expenditure (millions of US dollars),,,572,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
531,Curaçao,2018,Tourism expenditure (millions of US dollars),,,604,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
531,Curaçao,2019,Tourism expenditure (millions of US dollars),,,706,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
196,Cyprus,1995,Tourist/visitor arrivals (thousands),TF,,"2,100",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
196,Cyprus,2005,Tourist/visitor arrivals (thousands),TF,,"2,470",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
196,Cyprus,2010,Tourist/visitor arrivals (thousands),TF,,"2,173",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
196,Cyprus,2017,Tourist/visitor arrivals (thousands),TF,,"3,652",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
196,Cyprus,2018,Tourist/visitor arrivals (thousands),TF,,"3,939",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
196,Cyprus,1995,Tourism expenditure (millions of US dollars),,,"2,018",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
196,Cyprus,2005,Tourism expenditure (millions of US dollars),,,"2,644",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
196,Cyprus,2010,Tourism expenditure (millions of US dollars),,,"2,137",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
196,Cyprus,2017,Tourism expenditure (millions of US dollars),,,"3,274",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
196,Cyprus,2018,Tourism expenditure (millions of US dollars),,,"3,449",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
196,Cyprus,2019,Tourism expenditure (millions of US dollars),,,"3,251",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
203,Czechia,1995,Tourist/visitor arrivals (thousands),TF,,"3,381",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
203,Czechia,2005,Tourist/visitor arrivals (thousands),TF,,"9,404",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
203,Czechia,2010,Tourist/visitor arrivals (thousands),TF,,"8,629",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
203,Czechia,2017,Tourist/visitor arrivals (thousands),TF,,"13,665",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
203,Czechia,2018,Tourist/visitor arrivals (thousands),TF,,"14,283",Estimate.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
203,Czechia,2005,Tourism expenditure (millions of US dollars),,,"5,772",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
203,Czechia,2010,Tourism expenditure (millions of US dollars),,,"8,068",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
203,Czechia,2017,Tourism expenditure (millions of US dollars),,,"7,695",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
203,Czechia,2018,Tourism expenditure (millions of US dollars),,,"8,283",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
203,Czechia,2019,Tourism expenditure (millions of US dollars),,,"7,965",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
180,Dem. Rep. of the Congo,1995,Tourist/visitor arrivals (thousands),TF,,35,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
180,Dem. Rep. of the Congo,2005,Tourist/visitor arrivals (thousands),TF,,61,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
180,Dem. Rep. of the Congo,2010,Tourist/visitor arrivals (thousands),TF,,81,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
180,Dem. Rep. of the Congo,2005,Tourism expenditure (millions of US dollars),,,3,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
180,Dem. Rep. of the Congo,2010,Tourism expenditure (millions of US dollars),,,11,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
180,Dem. Rep. of the Congo,2017,Tourism expenditure (millions of US dollars),,,6,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
180,Dem. Rep. of the Congo,2018,Tourism expenditure (millions of US dollars),,,61,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
180,Dem. Rep. of the Congo,2019,Tourism expenditure (millions of US dollars),,,100,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
208,Denmark,2005,Tourist/visitor arrivals (thousands),TCE,,"9,178",Break in the time series.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
208,Denmark,2010,Tourist/visitor arrivals (thousands),TCE,,"8,744",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
208,Denmark,2017,Tourist/visitor arrivals (thousands),TCE,,"12,426",Break in the time series.;Including shared economy platforms and non-commercial tourism.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
208,Denmark,2018,Tourist/visitor arrivals (thousands),TCE,,"12,749",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
208,Denmark,2019,Tourist/visitor arrivals (thousands),TCE,,"13,285",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
208,Denmark,1995,Tourism expenditure (millions of US dollars),,,"3,691",Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
208,Denmark,2005,Tourism expenditure (millions of US dollars),,,"5,293",Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
208,Denmark,2010,Tourism expenditure (millions of US dollars),,,"5,704",Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
208,Denmark,2017,Tourism expenditure (millions of US dollars),,,"8,508",Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
208,Denmark,2018,Tourism expenditure (millions of US dollars),,,"9,097",Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
208,Denmark,2019,Tourism expenditure (millions of US dollars),,,"8,847",Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
262,Djibouti,1995,Tourist/visitor arrivals (thousands),THS,,21,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
262,Djibouti,2005,Tourist/visitor arrivals (thousands),THS,,30,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
262,Djibouti,2010,Tourist/visitor arrivals (thousands),THS,,51,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
262,Djibouti,1995,Tourism expenditure (millions of US dollars),,,5,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
262,Djibouti,2005,Tourism expenditure (millions of US dollars),,,7,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
262,Djibouti,2010,Tourism expenditure (millions of US dollars),,,18,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
262,Djibouti,2017,Tourism expenditure (millions of US dollars),,,36,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
262,Djibouti,2018,Tourism expenditure (millions of US dollars),,,57,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
212,Dominica,1995,Tourist/visitor arrivals (thousands),TF,,60,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
212,Dominica,2005,Tourist/visitor arrivals (thousands),TF,,79,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
212,Dominica,2010,Tourist/visitor arrivals (thousands),TF,,77,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
212,Dominica,2017,Tourist/visitor arrivals (thousands),TF,,72,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
212,Dominica,2018,Tourist/visitor arrivals (thousands),TF,,63,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
212,Dominica,1995,Tourism expenditure (millions of US dollars),,,42,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
212,Dominica,2005,Tourism expenditure (millions of US dollars),,,57,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
212,Dominica,2010,Tourism expenditure (millions of US dollars),,,94,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
212,Dominica,2017,Tourism expenditure (millions of US dollars),,,161,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
212,Dominica,2018,Tourism expenditure (millions of US dollars),,,111,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
214,Dominican Republic,1995,Tourist/visitor arrivals (thousands),TF,,"1,776",Arrivals by air only.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
214,Dominican Republic,2005,Tourist/visitor arrivals (thousands),TF,,"3,691",Arrivals by air only.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
214,Dominican Republic,2010,Tourist/visitor arrivals (thousands),TF,,"4,125",Arrivals by air only.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
214,Dominican Republic,2017,Tourist/visitor arrivals (thousands),TF,,"6,188",Arrivals by air only.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
214,Dominican Republic,2018,Tourist/visitor arrivals (thousands),TF,,"6,569",Arrivals by air only.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
214,Dominican Republic,2019,Tourist/visitor arrivals (thousands),TF,,"6,446",Arrivals by air only.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
